,FP1-F7,F7-T7,T7-P7,P7-O1,FP1-F3,F3-C3,C3-P3,P3-O1,FP2-F4,F4-C4,C4-P4,P4-O2,FP2-F8,F8-T8,T8-P8,P8-O2,FZ-CZ,CZ-PZ,P7-T7,T7-FT9,FT9-FT10,FT10-T8,T8-P8
FP2-F8,0.1129417616933665,0.1165034652399477,0.0,0.0,0.1470102822932671,0.093328843711808,0.0,0.0,0.180173376353545,0.0872989912790953,0.0,0.0,0.2246855957253669,0.0,0.0,0.0,0.0879184736181273,0.0,0.0,0.0,0.1137198964019868,0.0,0.0
F8-T8,0.1142586234698831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1559003808093809,0.0,0.0,0.0,0.423510351559668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.282724731970186,0.0
T8-P8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1671655140195505,0.0,0.0,0.0,0.4108309162321534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4108309162321534
P8-O2,0.0,0.0,0.0,0.186717739853958,0.0,0.0,0.0,0.1352977375682494,0.0,0.0,0.0,0.2548986311184872,0.0,0.0,0.0,0.4436334356208854,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FZ-CZ,0.0836241152009953,0.1051406493415326,0.0,0.0,0.0,0.1845822439560696,0.0,0.0,0.0,0.1789373948057964,0.0,0.0,0.0879184736181273,0.0,0.0,0.0,0.3129948335017285,0.0,0.0,0.0,0.0,0.0,0.0
CZ-PZ,0.0,0.0,0.0,0.0,0.0,0.1140784370931168,0.194211284526398,0.0,0.0,0.1097197047469924,0.1887207591215109,0.0,0.0,0.0,0.0,0.0,0.0,0.3632899314459127,0.0,0.0,0.0,0.0,0.0
P7-T7,0.0,0.0,0.4227734805785161,0.0,0.0,0.0,0.1463451572022266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4227734805785224,0.0,0.0,0.0,0.0
T7-FT9,0.0,0.2796757794474388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6309156822227722,0.0,0.0,0.0
FT9-FT10,0.142286668946044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1137198964019868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5885463629461718,0.0,0.0
FT10-T8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2827247319701861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6497965077848339,0.0
T8-P8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1671655140195505,0.0,0.0,0.0,0.4108309162321534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4108309162321534
